DESCRICAO                                     GAMA   UN |     MAT  D%  +DESP  +MARG  =MAT.C |     MO  +DERR  +LUCR   =MO.C |    FINAL
--------------------------------------------------------------------------------------------------------------------------------------------
Multi-split 2 unidades interiores + exter        -   un | 2200.00  0%   0.00 770.00 2970.00 | 650.00  97.50 261.62 1009.12 |  3979.12
AR CONDICIONADO MULTI                            -   un | 2800.00  0%   0.00 980.00 3780.00 | 650.00  97.50 261.62 1009.12 |  4789.12

AR CONDICIONADO SPLIT                            -   un | 1100.00  0%   0.00 385.00 1485.00 | 450.00  67.50 181.12  698.62 |  2183.62
Fornecimento e instalacao de sistema AVAC        -   vg | 4500.00  0%   0.00 1575.00 6075.00 | 450.00  67.50 181.12  698.62 |  6773.62

AZULEJO BASICO                                base   m² |   35.00 10%   3.50  13.47   51.98 |  13.00   1.95   5.23   20.18 |    72.16
AZULEJO MEDIO                                media   m² |   55.00 10%   5.50  21.17   81.67 |  13.00   1.95   5.23   20.18 |   101.86
AZULEJO PREMIUM                            premium   m² |   85.00 10%   8.50  32.73  126.22 |  13.00   1.95   5.23   20.18 |   146.41

BANCADA GRANITO ML                            base   ml |  280.00  0%   0.00  98.00  378.00 |  60.00   9.00  24.15   93.15 |   471.15
Cozinha modular completa (módulos+bancada    media   ml |  450.00  0%   0.00 157.50  607.50 |  60.00   9.00  24.15   93.15 |   700.65
BANCADA SILESTONE ML                       premium   ml |  450.00  0%   0.00 157.50  607.50 |  60.00   9.00  24.15   93.15 |   700.65

Manga Plástica 200 Myc 312M2 Preta TECpla     base   m2 |    0.26  5%   0.01   0.10    0.37 |   2.00   0.30   0.80    3.10 |     3.47
Barreira pára-vapor AXTON Polietileno         base   m2 |    1.15  5%   0.06   0.42    1.63 |   2.00   0.30   0.80    3.10 |     4.74
Membrana Transpirante com Adesivo Transpi     base   m2 |    1.34  5%   0.07   0.49    1.90 |   2.00   0.30   0.80    3.10 |     5.00
Tela Barreira Vapor Renolit ALKORPLUS 810     base   m2 |    1.36  5%   0.07   0.50    1.93 |   2.00   0.30   0.80    3.10 |     5.03
Barreira pára-vapor polietileno 200μm         base   m2 |    1.80  5%   0.09   0.66    2.55 |   2.00   0.30   0.80    3.10 |     5.66
Membrana Barreira ao Vapor Impervap Núcle     base   m2 |    8.08  5%   0.40   2.97   11.45 |   2.00   0.30   0.80    3.10 |    14.56

Base duche acrílica 80x80 + resguardo         base   un |  180.00  0%   0.00  63.00  243.00 | 220.00  33.00  88.55  341.55 |   584.55
