Data,Cliques,Impressões,CTR,Posição
2026-01-04,59,3153,1.87%,7.5
2026-01-05,63,2953,2.13%,9.1
2026-01-06,51,2776,1.84%,7.9
2026-01-07,44,2735,1.61%,7.6
2026-01-08,62,2585,2.4%,7.7
2026-01-09,57,2833,2.01%,8.4
2026-01-10,46,3498,1.32%,15.5
2026-01-11,67,3189,2.1%,8.3
2026-01-12,62,3057,2.03%,7.4
2026-01-13,54,3086,1.75%,8.5
2026-01-14,40,2612,1.53%,7.5
2026-01-15,33,2190,1.51%,7.3
2026-01-16,13,1509,0.86%,10.3
2026-01-17,38,2043,1.86%,9.2
2026-01-18,44,2735,1.61%,9.1
2026-01-19,69,2745,2.51%,8.4
2026-01-20,62,3054,2.03%,9.3
2026-01-21,51,2864,1.78%,9.2
2026-01-22,60,3089,1.94%,8
2026-01-23,45,2959,1.52%,7.7
2026-01-24,86,3383,2.54%,8.2
2026-01-25,110,4028,2.73%,7.3
2026-01-26,104,3770,2.76%,6.5
2026-01-27,52,3760,1.38%,8.2
2026-01-28,79,3620,2.18%,6.9
2026-01-29,74,3780,1.96%,6.5
2026-01-30,58,3329,1.74%,7.5
2026-01-31,54,3197,1.69%,7.6
2026-02-01,63,4051,1.56%,6.3
2026-02-02,67,3690,1.82%,6.5
2026-02-03,54,4034,1.34%,5.8
2026-02-04,57,3792,1.5%,6.2
2026-02-05,48,3604,1.33%,9.2
2026-02-06,49,2967,1.65%,8.1
2026-02-07,56,2981,1.88%,6.3
2026-02-08,67,3318,2.02%,7.1
2026-02-09,54,3269,1.65%,6.7
2026-02-10,65,3782,1.72%,7.7
2026-02-11,45,2940,1.53%,7.3
2026-02-12,42,3062,1.37%,11.4
2026-02-13,50,2807,1.78%,7.3
2026-02-14,48,2717,1.77%,7.4
2026-02-15,53,3382,1.57%,7.6
2026-02-16,64,3369,1.9%,6.4
2026-02-17,76,3384,2.25%,7
2026-02-18,55,3010,1.83%,6.5
2026-02-19,79,3238,2.44%,6.9
2026-02-20,66,3291,2.01%,7.1
2026-02-21,67,2790,2.4%,7.3
2026-02-22,51,2882,1.77%,7.2
2026-02-23,83,3154,2.63%,9.2
2026-02-24,79,2931,2.7%,8.5
2026-02-25,72,2668,2.7%,8.1
2026-02-26,60,2309,2.6%,8.2
2026-02-27,48,2091,2.3%,9.3
2026-02-28,48,1866,2.57%,10.5
2026-03-01,56,2014,2.78%,8.8
2026-03-02,70,2566,2.73%,8.2
2026-03-03,63,2247,2.8%,9.1
2026-03-04,61,2135,2.86%,9.7
2026-03-05,48,2142,2.24%,9.5
2026-03-06,48,1844,2.6%,10.8
2026-03-07,45,1729,2.6%,10.6
2026-03-08,43,1653,2.6%,9.9
2026-03-09,46,2461,1.87%,11.9
2026-03-10,36,1940,1.86%,8.9
2026-03-11,41,1636,2.51%,9.1
2026-03-12,45,1631,2.76%,9.3
2026-03-13,47,1811,2.6%,9.3
2026-03-14,45,1951,2.31%,9.1
2026-03-15,57,2382,2.39%,8.9
2026-03-16,55,2552,2.16%,8.4
2026-03-17,55,2370,2.32%,7.9
2026-03-18,43,2211,1.94%,7.5
2026-03-19,36,2023,1.78%,8
2026-03-20,34,1957,1.74%,8.1
2026-03-21,25,1707,1.46%,9.1
2026-03-22,53,1941,2.73%,9.2
2026-03-23,47,1993,2.36%,7.6
2026-03-24,43,2069,2.08%,5.8
2026-03-25,42,2358,1.78%,6.9
2026-03-26,50,2080,2.4%,7.6
2026-03-27,43,1782,2.41%,8
2026-03-28,38,1769,2.15%,7.7
2026-03-29,54,2019,2.67%,6.5
2026-03-30,43,2232,1.93%,6.6
2026-03-31,50,2107,2.37%,7.1
2026-04-01,55,1961,2.8%,7.3
2026-04-02,38,1730,2.2%,7.1
2026-04-03,38,1948,1.95%,6.7
