País,Cliques,Impressões,CTR,Posição
Portugal,4337,181211,2.39%,8.33
França,124,2557,4.85%,8.27
Suíça,120,3069,3.91%,6.44
Brasil,94,31641,0.3%,5.4
Reino Unido,37,1684,2.2%,11.7
Alemanha,32,1001,3.2%,7.27
Países Baixos,29,444,6.53%,5.63
Luxemburgo,17,521,3.26%,4.39
Estados Unidos,14,8212,0.17%,11.46
Bélgica,14,435,3.22%,4.9
Espanha,13,1007,1.29%,9.43
Canadá,12,680,1.76%,6.6
Angola,7,1314,0.53%,5.47
Irlanda,6,174,3.45%,5.76
Cabo Verde,5,131,3.82%,8.73
Moçambique,4,627,0.64%,4.8
Tailândia,4,92,4.35%,8.83
Suécia,4,80,5%,7.24
Dinamarca,3,61,4.92%,4.75
Itália,2,319,0.63%,7.18
Noruega,2,102,1.96%,6.35
Andorra,2,65,3.08%,3.72
Polônia,1,125,0.8%,11.55
China,1,114,0.88%,7.11
Austrália,1,111,0.9%,7.97
Equador,1,82,1.22%,7.32
Emirados Árabes Unidos,1,69,1.45%,6.3
Romênia,1,66,1.52%,13.08
Israel,1,64,1.56%,7.89
Hong Kong,1,55,1.82%,6.53
Nigéria,1,41,2.44%,10.98
Jersey,1,24,4.17%,3.42
São Tomé e Príncipe,1,17,5.88%,4.59
Catar,1,15,6.67%,16.4
São Bartolomeu,1,14,7.14%,6.21
República Centro-Africana,1,11,9.09%,4.09
Índia,0,431,0%,10.87
Turquia,0,267,0%,8.6
México,0,224,0%,8.72
Argentina,0,214,0%,8.9
Indonésia,0,214,0%,9.03
Vietnã,0,213,0%,19.38
Colômbia,0,168,0%,9.32
Filipinas,0,131,0%,13.21
África do Sul,0,130,0%,5.99
Coréia do Sul,0,103,0%,10.98
Ucrânia,0,100,0%,8.1
Bangladesh,0,98,0%,7.89
Marrocos,0,87,0%,8.32
Malásia,0,84,0%,7.3
Japão,0,82,0%,5.4
Argélia,0,82,0%,8.61
Rússia,0,81,0%,16.17
Peru,0,73,0%,9.3
Singapura,0,68,0%,5.65
Arábia Saudita,0,68,0%,14.72
Chile,0,67,0%,7.15
Grécia,0,62,0%,8.69
Áustria,0,60,0%,5.87
Irã,0,52,0%,5
República Tcheca,0,52,0%,7.67
Hungria,0,49,0%,7.43
Paquistão,0,44,0%,8.02
Paraguai,0,43,0%,5.21
República Dominicana,0,43,0%,6.65
Guiné-Bissau,0,41,0%,3.8
Eslováquia,0,40,0%,8.8
Quênia,0,37,0%,3.89
Iraque,0,37,0%,10.86
Egito,0,36,0%,22.19
Bielorrússia,0,34,0%,7.03
Venezuela,0,33,0%,10.7
Finlândia,0,32,0%,8
Bulgária,0,31,0%,8.19
Taiwan,0,31,0%,8.42
Sérvia,0,29,0%,10
Islândia,0,25,0%,5.72
Lituânia,0,25,0%,8.44
Bolívia,0,25,0%,10.08
Uruguai,0,24,0%,8.46
Jordânia,0,23,0%,8.87
Nepal,0,22,0%,6.64
Croácia,0,22,0%,7.91
Tunísia,0,22,0%,13.27
Letônia,0,20,0%,5.95
Nova Zelândia,0,20,0%,14.15
Bósnia e Herzegovina,0,18,0%,7.89
Moldávia,0,18,0%,11.39
Honduras,0,17,0%,6.12
Costa Rica,0,15,0%,8.27
Albânia,0,15,0%,14
Geórgia,0,15,0%,15
Macau,0,14,0%,3.43
Guatemala,0,14,0%,10.86
Porto Rico,0,13,0%,4.46
Jamaica,0,13,0%,5.46
Eslovênia,0,13,0%,12.08
Barbados,0,12,0%,5.25
Etiópia,0,12,0%,6.25
Costa do Marfim,0,12,0%,7.08
Azerbaijão,0,12,0%,7.33
Gana,0,12,0%,12.25
Camboja,0,11,0%,7.91
Macedônia,0,11,0%,10.27
Omã,0,11,0%,25
Guiné,0,10,0%,3.3
Trinidad e Tobago,0,10,0%,12.9
Guiana,0,10,0%,16.9
Uzbequistão,0,9,0%,6.44
Região desconhecida,0,9,0%,7
Bahamas,0,9,0%,7.44
Nicarágua,0,9,0%,9.44
Guernsey,0,8,0%,3.5
Montenegro,0,8,0%,6.5
Líbano,0,8,0%,7.25
Cazaquistão,0,8,0%,16.62
Malta,0,7,0%,5.14
El Salvador,0,7,0%,5.43
Chipre,0,7,0%,6.43
Panamá,0,7,0%,6.86
Camarões,0,7,0%,7.14
Cuba,0,7,0%,7.14
Ilhas Seychelles,0,7,0%,8.57
Senegal,0,7,0%,10.57
Zimbábue,0,7,0%,14.29
Uganda,0,6,0%,1.17
Maldivas,0,6,0%,3.17
Estônia,0,6,0%,4.17
Síria,0,6,0%,5.17
Tanzânia,0,6,0%,5.5
Zâmbia,0,6,0%,6.17
Mongólia,0,6,0%,6.67
Timor-Leste,0,6,0%,9
Kuwait,0,6,0%,10.83
Ilhas Cayman,0,5,0%,3.8
Palestina,0,5,0%,4.8
Somália,0,5,0%,5.4
Afeganistão,0,5,0%,8
St. Martin,0,5,0%,10
Congo-Kinshasa,0,5,0%,10.2
Namíbia,0,5,0%,18.6
Kosovo,0,5,0%,21.4
Barein,0,5,0%,23.8
Ruanda,0,4,0%,3.5
Líbia,0,4,0%,6.25
Liechtenstein,0,4,0%,6.75
Bermudas,0,4,0%,7
Sri Lanka,0,4,0%,7.5
Burkina Faso,0,4,0%,9
Laos,0,4,0%,12.75
Suazilândia,0,3,0%,5
Libéria,0,3,0%,5.67
Malauí,0,3,0%,5.67
Santa Lúcia,0,3,0%,6
Países Baixos Caribenhos,0,3,0%,6.33
Gibraltar,0,3,0%,6.33
Butão,0,3,0%,8.67
Quirguistão,0,3,0%,8.67
Madagascar,0,3,0%,10
Armênia,0,3,0%,11.67
Papua-Nova Guiné,0,3,0%,12
Tajiquistão,0,3,0%,41
Ilha de Man,0,2,0%,2
Haiti,0,2,0%,3
Ilhas Turks e Caicos,0,2,0%,3.5
Guiné Equatorial,0,2,0%,5.5
São Cristóvão e Névis,0,2,0%,5.5
Guadalupe,0,2,0%,6.5
Sudão,0,2,0%,6.5
Aruba,0,2,0%,7
Benin,0,2,0%,8
Ilhas Salomão,0,2,0%,8
Suriname,0,2,0%,9.5
Iêmen,0,2,0%,14
Ilhas Maurício,0,2,0%,43
Congo-Brazzaville,0,2,0%,56.5
Belize,0,1,0%,1
Gabão,0,1,0%,1
Nova Caledônia,0,1,0%,1
Martinica,0,1,0%,2
Reunião,0,1,0%,2
Sint Maarten,0,1,0%,2
Ilhas Virgens Americanas,0,1,0%,2
Samoa,0,1,0%,3
Antígua e Barbuda,0,1,0%,4
Mali,0,1,0%,5
Ilha Mayotte,0,1,0%,6
Brunei,0,1,0%,7
Coréia do Norte,0,1,0%,9
Dominica,0,1,0%,11
Togo,0,1,0%,11
Curaçao,0,1,0%,13
Mauritânia,0,1,0%,17
Fiji,0,1,0%,85
