Data,Não indexadas,Indexados,Impressões
2026-01-05,,,2953
2026-01-06,,,2776
2026-01-07,,,2735
2026-01-08,,,2585
2026-01-09,,,2833
2026-01-10,,,3498
2026-01-11,,,3189
2026-01-12,,,3057
2026-01-13,,,3086
2026-01-14,,,2612
2026-01-15,,,2190
2026-01-16,,,1509
2026-01-17,,,2043
2026-01-18,,,2735
2026-01-19,,,2745
2026-01-20,,,3054
2026-01-21,,,2864
2026-01-22,,,3089
2026-01-23,,,2959
2026-01-24,,,3383
2026-01-25,,,4028
2026-01-26,,,3770
2026-01-27,,,3760
2026-01-28,,,3620
2026-01-29,,,3780
2026-01-30,,,3329
2026-01-31,,,3197
2026-02-01,,,4051
2026-02-02,,,3690
2026-02-03,,,4034
2026-02-04,,,3792
2026-02-05,,,3604
2026-02-06,,,2967
2026-02-07,,,2981
2026-02-08,,,3318
2026-02-09,,,3269
2026-02-10,,,3782
2026-02-11,,,2940
2026-02-12,,,3062
2026-02-13,,,2807
2026-02-14,,,2717
2026-02-15,,,3382
2026-02-16,,,3369
2026-02-17,,,3384
2026-02-18,,,3010
2026-02-19,,,3238
2026-02-20,,,3291
2026-02-21,,,2790
2026-02-22,,,2882
2026-02-23,,,3154
2026-02-24,,,2931
2026-02-25,,,2668
2026-02-26,,,2309
2026-02-27,,,2091
2026-02-28,,,1866
2026-03-01,,,2014
2026-03-02,,,2566
2026-03-03,38,200,2247
2026-03-04,23,215,2135
2026-03-05,23,215,2142
2026-03-06,23,215,1844
2026-03-07,23,215,1729
2026-03-08,0,16,1653
2026-03-09,0,16,2461
2026-03-10,0,16,1940
2026-03-11,0,16,1636
2026-03-12,0,16,1631
2026-03-13,0,16,1811
2026-03-14,0,16,1951
2026-03-15,0,16,2382
2026-03-16,0,16,2552
2026-03-17,0,16,2370
2026-03-18,17,221,2211
2026-03-19,17,221,2023
2026-03-20,17,221,1957
2026-03-21,17,221,1707
2026-03-22,16,222,1941
2026-03-23,16,222,1993
2026-03-24,16,222,2069
2026-03-25,14,224,2358
2026-03-26,14,224,2080
2026-03-27,14,224,1782
2026-03-28,14,224,1769
2026-03-29,13,225,2019
2026-03-30,13,225,2232
2026-03-31,13,225,2107
