País,Cliques,Impressões,CTR,Posição
Portugal,53639,1254694,4.28%,8.56
Brasil,1978,193812,1.02%,16.96
Suíça,1547,27014,5.73%,7.37
França,1315,25557,5.15%,11.16
Reino Unido,232,17293,1.34%,35.08
Luxemburgo,210,4157,5.05%,6.89
Angola,207,11247,1.84%,7.24
Espanha,185,7638,2.42%,24.18
Alemanha,175,9943,1.76%,25.19
Países Baixos,88,3423,2.57%,25.31
Bélgica,82,2630,3.12%,10.21
Estados Unidos,72,84337,0.09%,34.86
Canadá,58,4620,1.26%,30.6
Moçambique,52,4567,1.14%,7.75
Itália,43,4031,1.07%,36.67
Irlanda,39,1810,2.15%,28.6
Andorra,25,458,5.46%,9.46
Cabo Verde,24,988,2.43%,12.23
Noruega,16,648,2.47%,20.72
África do Sul,12,1772,0.68%,38.42
Austrália,12,1033,1.16%,37.32
Suécia,12,784,1.53%,37.93
Emirados Árabes Unidos,12,703,1.71%,33.97
São Bartolomeu,12,130,9.23%,6
Dinamarca,11,368,2.99%,25.09
Romênia,10,838,1.19%,37.41
Tailândia,10,677,1.48%,36.63
Jersey,10,240,4.17%,9.19
Catar,10,175,5.71%,26.43
Macau,9,96,9.38%,9.83
Guiné,9,56,16.07%,7.61
Lituânia,8,560,1.43%,45.97
Turquia,7,2723,0.26%,44.89
México,7,2539,0.28%,44.43
Quênia,7,416,1.68%,43.71
Polônia,6,1583,0.38%,35.14
Japão,6,1272,0.47%,39.39
Áustria,6,480,1.25%,25.77
Guiné-Bissau,5,257,1.95%,5.29
Guernsey,5,74,6.76%,8.88
Índia,4,7448,0.05%,46.82
Argentina,4,2313,0.17%,45.62
Ucrânia,4,1835,0.22%,45.98
Arábia Saudita,4,1230,0.33%,44.05
Marrocos,4,1139,0.35%,39.91
China,4,371,1.08%,18.83
Hong Kong,4,274,1.46%,38.43
Costa do Marfim,4,139,2.88%,36.45
Barein,4,130,3.08%,43.18
República Centro-Africana,4,53,7.55%,5.19
Venezuela,3,860,0.35%,45.85
Israel,3,497,0.6%,39.14
República Tcheca,3,427,0.7%,35.09
Sérvia,3,325,0.92%,40.9
Geórgia,3,207,1.45%,44.77
São Tomé e Príncipe,3,196,1.53%,10.27
Panamá,3,189,1.59%,44.05
Croácia,3,169,1.78%,33.38
Islândia,3,137,2.19%,17.49
Malta,3,83,3.61%,27.36
Liechtenstein,3,67,4.48%,6.4
Ruanda,3,44,6.82%,22.64
St. Martin,3,41,7.32%,8.22
Timor-Leste,3,32,9.38%,7.12
Indonésia,2,1865,0.11%,43.68
Filipinas,2,1301,0.15%,43.98
Equador,2,1269,0.16%,47.33
Singapura,2,797,0.25%,45.52
Região desconhecida,2,618,0.32%,47.33
Paraguai,2,534,0.37%,35.81
Bulgária,2,459,0.44%,44.08
Finlândia,2,275,0.73%,41.51
Nigéria,2,192,1.04%,29.65
Nova Zelândia,2,167,1.2%,40.14
Gana,2,111,1.8%,34.75
Rússia,1,10277,0.01%,51.88
