Data,Cliques,Impressões,CTR,Posição
2024-12-04,209,4929,4.24%,16.4
2024-12-05,207,4583,4.52%,14
2024-12-06,160,3844,4.16%,14.1
2024-12-07,159,3661,4.34%,13.9
2024-12-08,222,6238,3.56%,21.8
2024-12-09,227,4429,5.13%,12.7
2024-12-10,162,3945,4.11%,13.9
2024-12-11,178,4343,4.1%,15.2
2024-12-12,154,3994,3.86%,13.4
2024-12-13,176,3914,4.5%,15.3
2024-12-14,133,3833,3.47%,16.1
2024-12-15,177,4524,3.91%,16.1
2024-12-16,221,5415,4.08%,18.5
2024-12-17,211,4774,4.42%,14.6
2024-12-18,203,4584,4.43%,15.1
2024-12-19,183,4334,4.22%,15.7
2024-12-20,130,3626,3.59%,17.7
2024-12-21,139,3469,4.01%,17.9
2024-12-22,153,4065,3.76%,16.5
2024-12-23,116,3632,3.19%,19.4
2024-12-24,78,2907,2.68%,23.9
2024-12-25,191,4109,4.65%,16.4
2024-12-26,264,5325,4.96%,14.3
2024-12-27,205,5000,4.1%,14.4
2024-12-28,303,5012,6.05%,14
2024-12-29,288,5566,5.17%,13.8
2024-12-30,249,4954,5.03%,15
2024-12-31,134,3443,3.89%,17.3
2025-01-01,257,5185,4.96%,14.2
2025-01-02,321,6494,4.94%,13.2
2025-01-03,309,6274,4.93%,16.2
2025-01-04,340,6690,5.08%,14.8
2025-01-05,436,7331,5.95%,12.2
2025-01-06,311,6552,4.75%,13.7
2025-01-07,310,6621,4.68%,14
2025-01-08,325,7030,4.62%,14.2
2025-01-09,346,6651,5.2%,13.7
2025-01-10,285,6465,4.41%,13.7
2025-01-11,304,7524,4.04%,17.5
2025-01-12,411,7593,5.41%,12.3
2025-01-13,390,7467,5.22%,12.8
2025-01-14,381,7122,5.35%,12.7
2025-01-15,359,6645,5.4%,12.2
2025-01-16,411,6478,6.34%,11.3
2025-01-17,359,6562,5.47%,11.6
2025-01-18,368,6707,5.49%,11.5
2025-01-19,425,7968,5.33%,11.9
2025-01-20,443,7747,5.72%,11.9
2025-01-21,381,6911,5.51%,12.4
2025-01-22,369,7179,5.14%,11.1
2025-01-23,334,6767,4.94%,11.8
2025-01-24,337,6404,5.26%,13
2025-01-25,376,7004,5.37%,11.8
2025-01-26,443,8536,5.19%,10.9
2025-01-27,407,7588,5.36%,11.5
2025-01-28,371,6957,5.33%,12.1
2025-01-29,348,6921,5.03%,12.7
2025-01-30,320,6416,4.99%,13.4
2025-01-31,295,5849,5.04%,14.8
2025-02-01,345,6362,5.42%,13.6
2025-02-02,403,7533,5.35%,13.1
2025-02-03,352,7172,4.91%,13.2
2025-02-04,333,6890,4.83%,12.9
2025-02-05,344,6751,5.1%,13.2
2025-02-06,268,6749,3.97%,14.4
2025-02-07,263,6040,4.35%,13.7
2025-02-08,314,6257,5.02%,13.5
2025-02-09,381,7661,4.97%,11.8
2025-02-10,328,7195,4.56%,12.2
2025-02-11,296,7005,4.23%,12.7
2025-02-12,260,6251,4.16%,13
2025-02-13,212,5101,4.16%,14.4
2025-02-14,152,4782,3.18%,20.6
2025-02-15,176,4437,3.97%,15.3
2025-02-16,223,5629,3.96%,13.4
2025-02-17,201,5013,4.01%,13.5
2025-02-18,189,4942,3.82%,13.5
2025-02-19,183,4979,3.68%,13.6
2025-02-20,168,4577,3.67%,14.8
2025-02-21,174,4511,3.86%,14.7
2025-02-22,150,4371,3.43%,15.1
2025-02-23,172,4818,3.57%,14.1
2025-02-24,209,4909,4.26%,13.6
2025-02-25,177,4413,4.01%,14.9
2025-02-26,164,4157,3.95%,15.2
2025-02-27,163,4467,3.65%,16.1
2025-02-28,127,3589,3.54%,17.3
2025-03-01,127,3612,3.52%,16.8
2025-03-02,155,4772,3.25%,19.5
2025-03-03,174,4022,4.33%,14.8
2025-03-04,184,4307,4.27%,14.1
2025-03-05,171,4740,3.61%,15.7
